,bl_ 500K,bl_1.5M,bl_100K,bl_1M,bl_2.5M,bl_200K,bl_300K,bl_400K,g_F,g_M,es_Graduate,es_High School,es_Other,ms_Other,ms_Single,age_31-45,age_46-65,age_Less than 30,age_More than 65,PAY_JULY,PAY_AUG,PAY_SEP,PAY_OCT,PAY_NOV,PAY_DEC,DUE_AMT_JULY,DUE_AMT_AUG,DUE_AMT_SEP,DUE_AMT_OCT,DUE_AMT_NOV,DUE_AMT_DEC
es_Graduate,0.06865363370581826,0.10787496808980808,-0.14620768642068685,0.16509015180116313,0.015397024728490822,-0.1378095908256768,-0.039636844035492155,0.00895551626846586,0.021374477750915586,-0.02137447775091555,1.0,-0.32678711189819687,-0.7146317762621195,0.15544143288272408,-0.15544143288272408,0.03821793730907317,-0.10533936913602271,0.04582788178720095,-0.010219803768641057,-0.1405411263508332,-0.16820395683939796,-0.1588660250635752,-0.15091664710986624,-0.1397762823018991,-0.12593065103079745,-0.022773649196813607,-0.020778356663915625,-0.0128350812810912,-0.00509810130547542,0.0004755180259623613,-0.0036627710544588537
es_High School,-0.03911228543303006,-0.050415430177517755,0.09118732259476713,-0.09345700717135508,-0.008760730424845804,0.08070533570099453,0.01038113565904302,-0.01291226657663836,0.010085637060400473,-0.010085637060400525,-0.32678711189819687,1.0,-0.42756437304099076,-0.10846632758463425,0.10846632758463425,-0.04681743066779724,0.1984862841799606,-0.11660599920543832,0.04400273546407881,0.05936539295896606,0.06375434302618338,0.06134024112752012,0.056685956394150805,0.04897852379248343,0.0396604212609581,-0.021991551215249223,-0.022669626021541545,-0.022198295727416183,-0.03017001330915128,-0.029795290618689393,-0.03000173644377519
es_Other,-0.03671870312663687,-0.06586799312335337,0.07235644817570937,-0.08873762535505979,-0.008243102660338456,0.07208177505499112,0.030229136328046927,0.0009908917572260764,-0.02790939933349916,0.027909399333499108,-0.7146317762621196,-0.42756437304099076,1.0,-0.06839970381580611,0.06839970381580611,-0.0019041479182262627,-0.04614984267639759,0.04246996823397681,-0.022792771352826688,0.09048894043909342,0.11369998043420909,0.10655502485192213,0.10239625857482373,0.09744506181103231,0.09109839588911527,0.03805969809449795,0.036653070985783145,0.02870649066745162,0.027206233553298462,0.021597728710036835,0.025708794425841026
ms_Other,-0.022027694874629244,-0.045955692375173864,0.07124955524973114,-0.07107050468012123,-0.002451502665594529,0.04226057405870654,0.005569119589034505,0.010741961356787854,0.03157280307272908,-0.03157280307272904,0.15544143288272405,-0.10846632758463425,-0.06839970381580612,0.9999999999999999,-0.9999999999999999,-0.1801485509719749,-0.264383616891693,0.4144688343194489,-0.04972682237495395,0.018200683120042596,0.02457607514336571,0.03138925045813054,0.030059700890352932,0.031227991081014553,0.02659107893461159,-0.02705617079542759,-0.02623698591242377,-0.029227538122771533,-0.026550031970056846,-0.029220931528504437,-0.024674879495195923
ms_Single,0.022027694874629244,0.045955692375173864,-0.07124955524973114,0.07107050468012123,0.002451502665594529,-0.04226057405870654,-0.005569119589034505,-0.010741961356787854,-0.03157280307272908,0.03157280307272904,-0.15544143288272405,0.10846632758463425,0.06839970381580612,-0.9999999999999999,0.9999999999999999,0.1801485509719749,0.264383616891693,-0.4144688343194489,0.04972682237495395,-0.018200683120042596,-0.02457607514336571,-0.03138925045813054,-0.030059700890352932,-0.031227991081014553,-0.02659107893461159,0.02705617079542759,0.02623698591242377,0.029227538122771533,0.026550031970056846,0.029220931528504437,0.024674879495195923
age_31-45,0.06931328095385454,0.06710062412623317,-0.13667826353774248,0.14546576174097192,0.007028402421343533,-0.11871052927348485,-0.02438416566946574,0.013399415401482281,0.0244726973259087,-0.024472697325908694,0.03821793730907317,-0.04681743066779725,-0.0019041479182262627,-0.1801485509719749,0.1801485509719749,1.0,-0.461989028832451,-0.6903343793669519,-0.06129446439678719,-0.07421515179093296,-0.08526995532037777,-0.08337081869188456,-0.07892219254486543,-0.08015575500682612,-0.07037822883582819,0.045403972995305235,0.0456464120234595,0.04792077364069683,0.05172312638259211,0.05319794285956552,0.050190523784917465
age_46-65,-0.026962381232227037,0.036403628660165305,0.02154933724017326,-0.01021267086351171,0.010115543867273936,0.0225088220660628,-0.012059115851972703,-0.02475461386012628,0.06042138295742822,-0.06042138295742824,-0.10533936913602271,0.1984862841799606,-0.04614984267639758,-0.26438361689169293,0.26438361689169293,-0.46198902883245097,0.9999999999999999,-0.31240316538629936,-0.02773812991288916,0.001661633773894888,0.0030902926947449236,0.006568018079413443,0.006185964115912586,8.193211090538576e-05,-0.003185229591338752,0.016603633519890106,0.014750334326910712,0.014186050876727207,0.008282766632432999,0.005822061653129297,0.004713277289492225
age_Less than 30,-0.05523507921088839,-0.10403227629944553,0.13141570514110154,-0.1489202066359101,-0.015447460362155678,0.11043415514194682,0.03710668808417826,0.006315327904578165,-0.07788637961245168,0.07788637961245168,0.04582788178720095,-0.11660599920543831,0.042469968233976814,0.4144688343194489,-0.4144688343194489,-0.6903343793669519,-0.31240316538629936,1.0,-0.04144813730015836,0.07837097876996955,0.08972940597039947,0.08535198726861916,0.08061314265004174,0.08628788201971352,0.07748005136687881,-0.06575273317140755,-0.06444481005449149,-0.06623490275128356,-0.06626061487282504,-0.06599395776364594,-0.062235552048550705
age_More than 65,0.02101280752489704,0.01890181788714917,-0.016991466056348138,0.008268794884898206,-0.0023837661764033354,-0.00992841336650163,-0.00880675689683752,-0.004623118174546121,0.019749296700664262,-0.019749296700664266,-0.010219803768641058,0.04400273546407881,-0.02279277135282669,-0.04972682237495395,0.04972682237495395,-0.06129446439678719,-0.027738129912889164,-0.041448137300158366,0.9999999999999999,-0.00045942574798828786,-0.005487381900040771,-0.009221848562277965,-0.00711024853602962,-0.0024468474933028207,0.004993678656504502,0.02725883039721445,0.02676963300693216,0.025282219359198898,0.03096333794476161,0.03210494117060396,0.03495543998456949
PAY_JULY,-0.08775482069589462,-0.08572036298033094,0.18119732151450782,-0.18609030858963124,-0.008944822191499727,0.137175568901198,0.055234184090972825,-0.028350001209444167,0.05431111754919598,-0.05431111754919598,-0.14054112635083318,0.05936539295896606,0.09048894043909343,0.0182006831200426,-0.0182006831200426,-0.07421515179093296,0.001661633773894888,0.07837097876996957,-0.00045942574798828786,1.0,0.672879438199122,0.5738210882200029,0.536305070630225,0.5075252675806953,0.4728292399296854,0.1856794123309032,0.18849027579273606,0.1772165714887035,0.17847168277918976,0.178959685810689,0.17411898644901225
PAY_AUG,-0.10645974942785168,-0.08557298043497706,0.21434904262740856,-0.20302801300951365,-0.014320468274233797,0.14961625987284774,0.05063001757189988,-0.03394308182035531,0.0662101436064959,-0.0662101436064959,-0.16820395683939796,0.06375434302618338,0.11369998043420908,0.02457607514336571,-0.02457607514336571,-0.08526995532037779,0.003090292694744924,0.08972940597039947,-0.0054873819000407715,0.672879438199122,1.0,0.7694825749468355,0.6632990394411763,0.6231834590997112,0.5748089063922762,0.2313289613362864,0.23223646508348456,0.22030658638634681,0.22003504663153842,0.21824538361428902,0.21650774067563447
PAY_SEP,-0.09578130392869652,-0.0839642320242072,0.21521875440075255,-0.19837675923089987,-0.01605999831671015,0.1385472638927782,0.047465861611065654,-0.03547631743358239,0.06162208240826669,-0.06162208240826669,-0.1588660250635752,0.06134024112752012,0.10655502485192214,0.03138925045813054,-0.03138925045813054,-0.08337081869188456,0.006568018079413443,0.08535198726861916,-0.009221848562277965,0.5738210882200028,0.7694825749468355,1.0,0.7773246353403492,0.6852489468848049,0.6318597529670991,0.20615685258712146,0.2356119579966042,0.22507479331891858,0.22587016545389793,0.22236712615023313,0.2188150233237124
PAY_OCT,-0.0956802413563595,-0.06818290814859071,0.20041729737107333,-0.18463646260440358,-0.011857389898545647,0.13380806743648252,0.04261530085120427,-0.038135310054690987,0.05577907038049369,-0.05577907038049366,-0.15091664710986624,0.0566859563941508,0.10239625857482373,0.03005970089035293,-0.03005970089035293,-0.07892219254486543,0.006185964115912586,0.08061314265004174,-0.0071102485360296196,0.536305070630225,0.6632990394411763,0.7773246353403492,1.0,0.8163076946607756,0.7127011399224198,0.2014476756734168,0.22475411334532033,0.2431257539947885,0.24547607925924395,0.2414706955779671,0.23718381289761892
PAY_NOV,-0.09433470640843304,-0.06509355562673114,0.18834866788213134,-0.1740641643998737,-0.012514099058174934,0.12334321266685536,0.04931235943131108,-0.035463387672231506,0.049763341032641115,-0.049763341032641135,-0.1397762823018991,0.04897852379248343,0.09744506181103231,0.031227991081014556,-0.031227991081014556,-0.0801557550068261,8.193211090538576e-05,0.08628788201971352,-0.0024468474933028207,0.5075252675806953,0.6231834590997112,0.6852489468848048,0.8163076946607756,0.9999999999999998,0.8154710360310367,0.2046329778508687,0.22554570913561245,0.24105740649688298,0.27174351911640926,0.2674994585396764,0.26015621372031705
PAY_DEC,-0.08272167326176116,-0.06364742341151951,0.16310335852100957,-0.1669566231922253,-0.012357790524922106,0.12009719632765953,0.05561609218492818,-0.03189979152382576,0.04045144648645169,-0.040451446486451714,-0.12593065103079745,0.0396604212609581,0.09109839588911527,0.026591078934611594,-0.026591078934611594,-0.07037822883582817,-0.003185229591338752,0.07748005136687881,0.004993678656504502,0.47282923992968534,0.5748089063922762,0.6318597529670991,0.7127011399224197,0.8154710360310367,1.0,0.20788681248117571,0.2278986533729626,0.24095087169564597,0.26847750245617835,0.291122818509308,0.28580024527261133
DUE_AMT_JULY,0.012926354520707282,0.16417648255531547,-0.20162781722719653,0.15265468798720483,0.054458537651287796,-0.10585621517399398,-0.006687532726704613,0.027362583700105546,0.03443385947491966,-0.03443385947491966,-0.022773649196813604,-0.021991551215249226,0.03805969809449794,-0.027056170795427586,0.027056170795427586,0.045403972995305235,0.016603633519890106,-0.06575273317140755,0.02725883039721445,0.1856794123309032,0.23132896133628636,0.20615685258712146,0.2014476756734168,0.2046329778508687,0.20788681248117574,1.0,0.9505653355926234,0.8920594788573418,0.863838975994802,0.8310568348389965,0.8045205264285938
DUE_AMT_AUG,0.007309829114445147,0.15842750227459354,-0.19607669630223765,0.15222271279989086,0.04704621916700375,-0.1047407586107289,-0.004845776814676451,0.028981197874278206,0.032049494560960595,-0.032049494560960595,-0.020778356663915625,-0.02266962602154154,0.036653070985783145,-0.026236985912423773,0.026236985912423773,0.0456464120234595,0.014750334326910712,-0.06444481005449149,0.02676963300693216,0.18849027579273603,0.23223646508348453,0.23561195799660417,0.22475411334532033,0.22554570913561245,0.2278986533729626,0.9505653355926235,1.0,0.9275359860672157,0.8954083889013876,0.8607120919570673,0.8328267251639638
DUE_AMT_SEP,0.007014863374352723,0.16953043499271084,-0.18907895772549044,0.15171932725889384,0.04761966951296521,-0.10889294960873808,-0.005877567994447326,0.021463414923460662,0.024856675151475004,-0.024856675151474997,-0.0128350812810912,-0.02219829572741618,0.028706490667451616,-0.02922753812277153,0.02922753812277153,0.04792077364069682,0.014186050876727207,-0.06623490275128356,0.025282219359198898,0.1772165714887035,0.22030658638634681,0.2250747933189186,0.2431257539947885,0.24105740649688298,0.24095087169564594,0.8920594788573417,0.9275359860672157,1.0,0.9258564727882906,0.8829557037683289,0.8528533310257
DUE_AMT_OCT,0.011503228336162515,0.17731455737261534,-0.18161665694236673,0.1551712151848815,0.0480569664780058,-0.12594680120378302,-0.005514486795818591,0.02049860681566958,0.02186864540617742,-0.021868645406177428,-0.00509810130547542,-0.030170013309151276,0.027206233553298462,-0.02655003197005685,0.02655003197005685,0.051723126382592105,0.008282766632432997,-0.06626061487282503,0.03096333794476161,0.17847168277918976,0.22003504663153842,0.22587016545389793,0.24547607925924395,0.27174351911640926,0.26847750245617835,0.863838975994802,0.8954083889013876,0.9258564727882908,1.0,0.9438287768024987,0.9029900240193508
DUE_AMT_NOV,0.016148370203846903,0.17401210687571228,-0.17553010040851028,0.1567896382852002,0.05074937065482237,-0.1355808425700769,-0.005299870202789067,0.02099724904547933,0.0184492317640589,-0.018449231764058913,0.00047551802596236124,-0.029795290618689393,0.021597728710036835,-0.029220931528504437,0.029220931528504437,0.05319794285956552,0.005822061653129297,-0.06599395776364594,0.03210494117060396,0.17895968581068902,0.21824538361428902,0.22236712615023313,0.2414706955779671,0.26749945853967644,0.291122818509308,0.8310568348389965,0.8607120919570673,0.8829557037683289,0.9438287768024988,1.0,0.9444072357718426
DUE_AMT_DEC,0.017422399534542738,0.1699376147196521,-0.177912729028831,0.15111808688333808,0.057837983945785154,-0.1307676995874064,-0.0020385124815939662,0.022515722745273498,0.018586742944548887,-0.018586742944548887,-0.0036627710544588537,-0.030001736443775195,0.025708794425841026,-0.024674879495195923,0.024674879495195923,0.05019052378491746,0.004713277289492226,-0.062235552048550705,0.03495543998456949,0.17411898644901225,0.2165077406756345,0.21881502332371242,0.23718381289761892,0.26015621372031705,0.28580024527261133,0.8045205264285938,0.8328267251639638,0.8528533310257,0.9029900240193507,0.9444072357718427,1.0
