Client_ID,Balance_Limit_V1,AGE,g_F,g_M,es_Graduate,es_High School,es_Other,ms_Other,ms_Single,PAY_JULY,PAY_AUG,PAY_SEP,PAY_OCT,PAY_NOV,PAY_DEC,Paid_AMT,Due_AMT
A27532,1000,56,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,-11279.585458999418,-125212.53775298732
A11235,500,38,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,-2,-2,-2,-2,-2,-27907.929141885033,-250425.43831308006
A17715,100,56,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,2,2,2,2,2,-27007.45601128181,-245873.41579525237
A25032,300,56,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,-11918.224334380291,152524.3460271066
A3218,300,24,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,-15305.791287071708,-22920.335984089917
A18201,1500,56,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,47047.86148498495,1941480.0395736147
A28083,400,38,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,-15609.30097801189,140815.788716605
A22852,400,38,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2,0,0,0,0,0,-10527.74566218611,198411.10095933866
A29764,200,38,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,-14913.59615285031,155103.5898895176
A12798,1500,24,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,37877.52398242431,67586.3265424688
A25524,200,38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,-14997.858543775812,78914.03825075409
A11824,1500,24,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,36593.99689384092,1724617.749353513
A8480,400,38,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1,-2,-2,-2,-1,-1,-26424.066747735218,-249549.1676982962
A8539,200,56,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,-14451.076370890605,135226.20630117902
A21671,300,24,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1,-1,-1,0,-1,-1,3824.4106855896207,-211140.20648941572
A23929,100,24,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,-22269.433668059428,-140061.30089891466
A18192,200,56,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,-17328.733751361284,6501.043439955984
A21451,400,24,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,-23684.25600861196,-135221.33203725453
A6772,100,56,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,2,2,-2,-1,-24581.386829037783,-190019.5098689805
A29990,400,38,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1,-1,-1,-1,-1,-2,-19400.433985650758,-236889.20270009164
A25181,200,24,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,3,2,0,0,0,-26227.663488606406,-222095.9354005172
A13613,100,24,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,-24011.927542841862,-174552.12557744572
A20126,200,38,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,-1,-1,-1,0,-1,15530.491475037334,-189621.51029539108
A21662,300,24,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-1,-1,-2,-1,-1,-1,-20886.83494149879,-242246.6499473864
A13021,100,56,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3,2,2,2,2,2,-24030.57391917413,-145589.29762024776
A15447,100,24,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,4.03138055710555,-98670.5309564058
A18015,400,38,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,2,2,0,0,-3727.4783325371855,444298.09338578075
A5985,200,38,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,-19341.01488265235,19955.12280860441
A16607,200,38,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,2,0,0,-17297.410136445775,-18691.251628542323
A8093,1000,24,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,-6455.417787146866,168716.89800622503
A15068,1000,38,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-1,-1,-1,-1,-1,-1,-6084.8615019961035,-225867.12464860693
A6395,1500,38,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,-3597.7077133214725,-176681.9712068773
A13855,1000,38,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,-2,-2,-2,-2,-2,-27907.929141885033,-250425.43831308006
A9641,100,38,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,2,0,0,-2,-2,-26911.043114337735,-216273.47797883817
A11561,1000,38,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,-2,-1,-1,-2,-2,-18583.61931410552,-251934.62136592448
A29174,1000,56,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-2,-2,-2,-2,-1,-1,-19043.719240472932,-240629.58970352518
A23448,1500,38,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-2,-2,-2,-2,-2,-2,-27907.929141885033,-250425.43831308006
A29867,1000,38,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2,2,0,0,0,2,12733.433432316779,850815.2692651611
A29191,200,24,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,-22093.87619525925,-152135.2343332934
A16063,200,56,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,-20825.036937500365,-93236.0952934663
A12737,1000,38,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-1,-1,-1,-1,-1,-1,-20729.385528853312,-227100.820402582
A27017,1000,38,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,6618.993849324026,473465.2979836788
A21478,200,24,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,-19600.737498128114,-41291.09150099181
A4756,200,24,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1,-1,2,0,0,0,15044.89777292158,-105084.55619834765
A10603,200,38,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,-12888.659393121088,-91460.167345237
A8173,1500,38,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,-1,-1,-1,565.9642889222469,809907.4701932919
A23374,400,38,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,-2,-2,-1,-1,-1,-27805.644163897952,-250228.99684505505
A18008,1000,38,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1,0,0,0,0,0,42237.38024434416,-38692.12958298116
A21891,500,24,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,6789.286786741296,-197575.09701383763
A5998,500,24,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0,2,-2025.6777296122955,-74863.75796138826
A6515,1000,56,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,2,0,0,0,0,9827.080365125534,1046151.9873669301
A27507,400,56,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,3474.295559027725,733796.5621173581
A2478,200,38,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,-24632.182827073575,-170934.16469782242
A5108,500,24,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,2,0,0,2164.2535244378873,644943.6138247096
A15291,400,38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,-5514.587247310247,322556.6672085532
A16302,100,38,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0,0,-2,-2,-1,-25639.982326894566,-208207.2671363181
A19710,200,38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,-1,-1,0,0,-17402.95123727533,-227724.337451677
A15301,400,38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,38039.93177596567,737172.6848756942
A26671,200,24,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,-2,81286.2692320166,19516.149157155098
A13751,500,38,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1,-1,-1,0,0,-1,17071.389514294267,-178814.23004647836
A23471,300,38,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2,-1,-1,-1,-1,-18171.67784782455,-228372.64830538
A29380,100,24,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,-23120.81902487215,-203597.0884754551
A26636,100,24,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,2,0,0,0,2,-23574.463347828892,-198514.05496613655
A25523,500,38,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,6707.638200670487,554493.4083043816
A1145,100,24,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1,-1,-1,-1,0,-1,-7067.284788478504,-224720.38327975466
A8208,200,56,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,-18800.551900509116,-6655.561516581765
A1976,200,24,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,-14452.656258312583,-60807.656699870335
A17814,200,24,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,-20901.910817553056,-52008.48271993938
A21458,500,24,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,-1,0,1842.1190856257774,-188202.89579473788
A25525,200,38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,-2,-2,-25064.64235702988,-237890.69260461093
A2691,1000,24,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-2,-2,-1,-1,-1,0,99567.77124162443,-39394.778632562244
A23685,300,56,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,-11552.136119163157,242956.3518211707
A4652,1000,38,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,2,0,0,0,25005.075860217043,1197353.5556271644
A12117,300,56,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,-1,0,0,0,0,84713.62017950063,288230.90535390034
A13236,200,56,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,2,0,0,0,-20464.041798137132,-57248.09100405422
A757,1000,38,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-2,-2,-2,-2,-2,-2,-19196.85811888509,-242327.61755203694
A2329,400,38,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,-1402.7917488376006,381352.46330643987
A22058,1000,24,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,-14515.071475090093,-28287.87111778124
A20111,1000,38,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-2,-2,-2,-1,2,0,-26888.611500672523,-248645.1410584173
A5305,400,38,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-1,-1,-1,-1,-1,-1,20266.11480321046,-208602.44799312402
A15658,1000,38,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-2,-2,-2,-2,-2,-2,119916.21509496766,-81692.07717099327
A2469,1000,38,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-1,-1,-1,-2,-2,-2,-23471.764704437297,-245965.85501339004
A27290,1000,38,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-2,-2,-2,-2,-2,-2,-9874.252229618221,-236346.1446679508
A14826,500,38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-1,0,-1,-1,-1,-1,-22196.489908631796,-242913.2473838388
A13159,200,56,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0,-2,-2,-2,-2,-27907.929141885033,-197084.80085644685
A22296,400,24,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,6486.172030176217,468523.99786636565
A25996,200,56,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2,0,0,0,0,0,-12530.561103047752,131483.0035796177
A25737,100,38,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2,2,0,0,0,0,-19581.838281297216,-102534.50090041885
A5483,100,24,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,-1,-1,-2,-2,-26301.76897356037,-239871.53445625014
A23095,500,56,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,-211.3231062011157,544260.6347889631
A1867,500,38,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,-2,-2,-2,-22966.85848648984,20.857681319864867
A3386,1000,38,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,1077.3465113989353,56667.29676268865
A6682,200,24,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,-9581.151661882985,188441.1571612832
A15593,100,56,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,-18709.487486047004,-84412.78107492042
A23600,400,38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-1,0,0,0,0,0,-19104.82678295752,-46899.79737395881
A15615,300,38,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2,2,2,2,0,0,-7440.725713772663,223804.30736352963
A5238,1000,56,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-1,2,-1,-1,-1,-2,-11384.40514445189,-229079.84769387153
A1061,1500,24,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,-20198.784371059355,-145647.13934986532
A2779,200,24,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,-19682.88505042942,-146364.09477550426
A8520,400,56,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,36044.456512916404,279286.16750838124
A11355,100,24,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1,-1,-1,0,0,-2,-14868.03275652857,-220568.3263571994
A5704,1000,38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-2,-2,-2,-2,-2,-2,-24347.210170654627,-243599.49967768588
A9410,1500,24,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-2,-2,-2,-2,-2,-2,66444.19266899297,-271973.23344810493
A26771,500,24,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1,-1,-1,-1,-1,-1,-6040.933741938068,-225127.30499115333
A8031,200,56,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,-21495.60368130993,-71551.38773489677
A14999,200,24,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,-16910.576684488075,10221.984952434863
A29516,100,56,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,-22988.64753321026,-211146.19995904123
A2842,500,38,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-2,-2,-2,-2,-1,-1,-25913.018960910093,-248459.7478864762
A1285,1000,38,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,-1018.2196108178531,384765.8404477723
A13047,2500,38,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,2,0,14945.298065126779,421567.66775724565
A334,1500,56,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-2,-2,-2,-2,-2,-2,-18994.394725192295,-244733.8851294576
A27944,1000,24,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-1,-1,-1,-1,-1,-1,-26227.260643481266,-248784.02941994386
A9071,200,24,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,2,-16007.236591206558,15639.232562346664
A11089,400,24,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1,-1,-1,-2,-1,-1,-9940.27235052386,-238714.9288463298
A6988,200,56,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,2,-18903.94230013541,-61682.50210557918
A20702,100,38,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,2,2,2,2,2,-19746.490211873068,-100101.86253573291
A22504,1000,38,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,21631.4988399024,1048473.2539919053
A18880,1000,24,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,-2,-2,-2,-2,-2,-27907.929141885033,-250425.43831308006
A1247,1000,73,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,-1,-1,-1,-1,-1,-17393.16278378307,-186080.2177774069
A12982,1500,56,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-1,-1,-1,-1,-1,-1,3952.209785860371,-214893.78106620358
A20650,100,24,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,-20192.500216498185,-150802.09037676186
A4483,100,56,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,-1,-1,-2,-24766.12521667084,-195569.38856699123
A10576,300,38,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2,2,2,2,2,2,-7886.153506322724,247386.40954899314
A5850,1000,56,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,4589.111738146712,609631.122534576
A10662,1500,38,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-1,-1,0,0,0,0,105514.5201171262,144806.36845674348
A1752,300,24,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2,0,0,0,0,-1,28098.02450397461,90491.40525565251
A13739,100,24,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2,2,2,2,2,2,-22123.138517428473,-94967.5472497307
A17107,100,24,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,-23119.005961287978,-162269.36342443622
A23428,500,38,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,2,0,0,0,0,-16536.27300086056,-170502.1633006474
A28657,500,38,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,5324.067710064729,678022.9921871389
A27338,400,38,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,9956.267519116935,419191.63855001813
A5614,200,56,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-1,-1,-2,-2,-2,-1,-20693.0664852527,-242078.52271106764
A21298,200,56,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-1,-1,2,-1,-1,-1,-26500.76944171434,-248666.3060936776
A19212,1000,24,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,-1,-1,-1,0,0,-25121.481483058975,-246228.78169566084
A21375,200,56,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-1,-1,-1,2,2,-2,-24980.32214336431,-249569.81651027047
A10029,1000,38,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,-20287.56529037021,-8597.806929056222
A6949,500,38,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-1,-1,-1,0,-1,-1,42356.26665459889,-111733.04590276227
A18922,400,24,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,-14200.659870117868,25035.614874375857
A14276,1500,38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,11766.05162176743,1185792.4390485466
A27748,100,24,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2,2,2,2,2,0,-20475.31966804843,-51900.66184225666
A11465,100,24,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2,2,0,0,0,2,-22759.000497297027,-172596.83308781832
A12186,400,24,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-1,-1,-1,-1,-1,-1,15236.519076575403,-207585.92579898553
A22811,400,38,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-1,-1,-1,-1,-1,0,15584.302878080287,-192985.12192356682
A8095,100,24,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,-17070.627726161943,-101794.47327235599
A7086,500,38,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,-2,-2,-2,-2,-2,-27907.929141885033,-250425.43831308006
A19527,1000,38,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,-1,3685.380304269177,-20254.434604888447
A22165,400,38,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,-1,2,-1,-1,-1,-15132.344411804248,-234532.51518651567
A28649,400,38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,-4491.607602601367,394798.47810174845
A13276,500,24,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1,-1,-1,-1,-1,-1,-24420.892641260954,-247471.16356269343
A10512,1500,38,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-1,-1,-1,0,-1,-1,-14250.178761284582,-232713.61217253914
A19538,200,38,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,-1,-1,-1,-2,-2,-10710.909641830496,-209454.13116458294
A7816,1000,24,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1,-1,-1,-1,-1,0,-12980.692780931018,-223645.31036966655
A6538,1000,38,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-1,-1,-1,-1,0,-1,72984.36108916411,-138211.37394008602
A7877,200,24,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2,2,2,2,2,2,-18961.894020911514,-105224.98090261707
A18903,200,24,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-1,-1,-1,2,-1,-1,-22838.49372497591,-244116.4815272071
A24222,400,38,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,-397.2963476257825,437462.9814340257
A27105,100,38,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-1,-1,-1,-1,-1,-2,-26539.465204351673,-248896.9050911237
A21191,1000,38,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,16844.850268695736,-107266.03299977691
A20938,1000,56,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,2,0,0,-22344.48554127599,-75771.7095873719
A24753,200,38,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2,2,2,0,0,0,-18569.70028721242,90919.53819062018
A19684,200,56,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,-1,2,-1,-1,-8705.330533984687,-190798.42192703954
A7298,1000,38,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-1,-1,-1,-1,-1,-1,591866.9396219656,191463.34277617227
A4747,300,24,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,2,2,2,2,2,-17046.829764310063,26307.268141632507
A27630,400,24,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,-2,-2,-2,-27084.41736598583,-231640.56531742154
A22575,1000,38,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,39582.28116141702,1760201.1989896868
A16498,100,24,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1,3,2,2,2,2,-21305.633378143433,-148665.2984439136
A14337,1000,38,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,-10078.314865934402,214848.56387930614
A19146,300,38,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2,2,2,2,2,2,-12818.096156998226,118524.32855129946
A23328,400,56,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,-15202.410139734073,-31905.89825979027
A8649,500,38,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,-2878.7961071601094,445470.3842133323
A25725,200,24,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,-21285.74070167238,-151810.9464153969
A15993,200,38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,-2,-2,-2,-2,-27907.929141885033,-198906.93794880548
A2366,100,56,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,2,-21664.88587947858,-145516.79223647955
A4491,300,24,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,-13622.098170362116,-150371.89787433716
A28772,1000,38,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-2,-2,-2,-2,-2,-2,-3620.4453304849017,-226426.59154665426
A6586,300,24,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2,2,2,2,-2,-2,32039.599480403216,78981.64252326923
A29582,1000,38,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1,-1,-1,-1,-1,0,-4503.088671956949,-223454.25004545593
A17658,200,38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,-20839.874963112576,-95047.05053488298
A10410,400,24,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,2,2,2,-17551.96682508586,-39233.82279048844
A5012,1000,56,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-2,-2,-2,-2,-2,-1,35939.455814352994,-175968.72720326585
A4672,300,24,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,-7561.237369732413,-1667.3146419155044
